table_id,state,start_time,end_time,duration_seconds
table_2,OCCUPIED,76.19130895601484,168.422893481717,92.23158452570217
table_2,CUSTOMER_LEFT,168.422893481717,172.43296237413887,4.010068892421856
table_2,DIRTY,172.43296237413887,184.46316905140435,12.030206677265483
table_2,CLEAN,184.46316905140435,192.48330683624803,8.020137784843683
table_2,EMPTY,192.48330683624803,565.4197138314786,372.9364069952305
table_2,OCCUPIED,565.4197138314786,593.4901960784314,28.070482246952793
table_2,CUSTOMER_LEFT,593.4901960784314,597.5002649708532,4.0100688924218275
table_2,DIRTY,597.5002649708532,609.5304716481187,12.030206677265483
table_2,CLEAN,609.5304716481187,617.5506094329625,8.020137784843769
table_2,EMPTY,617.5506094329625,773.943296237414,156.3926868044515
table_2,OCCUPIED,773.943296237414,834.0943296237414,60.15103338632741
table_2,CUSTOMER_LEFT,834.0943296237414,838.1043985161633,4.010068892421941
table_2,DIRTY,838.1043985161633,850.1346051934288,12.030206677265483
table_2,CLEAN,850.1346051934288,858.1547429782725,8.020137784843655
table_2,EMPTY,858.1547429782725,1134.849496555379,276.69475357710644
table_2,OCCUPIED,1134.849496555379,1243.1213566507686,108.27186009538968
table_2,CUSTOMER_LEFT,1243.1213566507686,1247.1314255431903,4.010068892421714
table_2,DIRTY,1247.1314255431903,1259.1616322204559,12.030206677265596
table_2,CLEAN,1259.1616322204559,1267.1817700052995,8.020137784843655
table_2,EMPTY,1267.1817700052995,51.36898251192369,-1215.812787493376
table_2,OCCUPIED,51.36898251192369,171.51064652888184,120.14166401695815
table_2,CUSTOMER_LEFT,171.51064652888184,171.55074721780605,0.04010068892421259
table_2,DIRTY,171.55074721780605,181.57591944886065,10.025172231054597
table_2,CLEAN,181.57591944886065,186.58850556438793,5.012586115527284
table_2,EMPTY,186.58850556438793,221.4761049284579,34.887599364069956
table_2,OCCUPIED,221.4761049284579,230.6992633810281,9.223158452570203
table_2,CUSTOMER_LEFT,230.6992633810281,230.73936406995233,0.04010068892424101
table_2,DIRTY,230.73936406995233,240.7645363010069,10.025172231054569
table_2,CLEAN,240.7645363010069,245.77712241653418,5.012586115527284
table_2,EMPTY,245.77712241653418,268.9954213036566,23.218298887122415
table_2,OCCUPIED,268.9954213036566,289.5269740328564,20.531552729199802
table_2,CUSTOMER_LEFT,289.5269740328564,289.5670747217806,0.04010068892421259
table_2,DIRTY,289.5670747217806,299.5922469528352,10.025172231054569
table_2,CLEAN,299.5922469528352,304.6048330683625,5.012586115527313
table_2,EMPTY,304.6048330683625,347.8734764175941,43.26864334923158
table_2,OCCUPIED,347.8734764175941,368.4451298357181,20.571653418124015
table_2,CUSTOMER_LEFT,368.4451298357181,368.4852305246423,0.04010068892421259
table_2,DIRTY,368.4852305246423,378.5104027556969,10.025172231054569
table_2,CLEAN,378.5104027556969,383.5229888712242,5.012586115527313
table_2,EMPTY,383.5229888712242,392.305039745628,8.782050874403808
table_2,OCCUPIED,392.305039745628,401.40789613142556,9.102856385797566
